PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
3,0x000a,0.720215,0x00000000,2016-11-10T16:08:41.077Z,2016-11-10T16:08:41.449Z
2,0x000a,24.5026,0x00000000,2016-11-10T16:08:41.046Z,2016-11-10T16:08:41.449Z
1,0x000a,1.65405,0x00000000,2016-11-10T16:08:41.023Z,2016-11-10T16:08:41.449Z
3,0x000a,0.680542,0x00000000,2016-11-10T16:08:41.805Z,2016-11-10T16:08:42.164Z
2,0x000a,24.6674,0x00000000,2016-11-10T16:08:41.777Z,2016-11-10T16:08:42.164Z
1,0x000a,1.6449,0x00000000,2016-11-10T16:08:41.721Z,2016-11-10T16:08:42.164Z
3,0x000a,0.698853,0x00000000,2016-11-10T16:08:42.482Z,2016-11-10T16:08:42.851Z
2,0x000a,27.2125,0x00000000,2016-11-10T16:08:42.444Z,2016-11-10T16:08:42.850Z
1,0x000a,1.53809,0x00000000,2016-11-10T16:08:42.417Z,2016-11-10T16:08:42.850Z
3,0x000a,0.708008,0x00000000,2016-11-10T16:08:43.170Z,2016-11-10T16:08:43.528Z
2,0x000a,24.4873,0x00000000,2016-11-10T16:08:43.139Z,2016-11-10T16:08:43.528Z
1,0x000a,1.69373,0x00000000,2016-11-10T16:08:43.093Z,2016-11-10T16:08:43.527Z
3,0x000a,0.741577,0x00000000,2016-11-10T16:08:43.874Z,2016-11-10T16:08:44.188Z
2,0x000a,23.9471,0x00000000,2016-11-10T16:08:43.839Z,2016-11-10T16:08:44.187Z
1,0x000a,1.69067,0x00000000,2016-11-10T16:08:43.784Z,2016-11-10T16:08:44.187Z
3,0x000a,0.772095,0x00000000,2016-11-10T16:08:44.503Z,2016-11-10T16:08:44.864Z
2,0x000a,26.6296,0x00000000,2016-11-10T16:08:44.487Z,2016-11-10T16:08:44.864Z
1,0x000a,1.71509,0x00000000,2016-11-10T16:08:44.456Z,2016-11-10T16:08:44.864Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:08:45.135Z,2016-11-10T16:08:45.483Z
2,0x000a,25.5829,0x00000000,2016-11-10T16:08:45.116Z,2016-11-10T16:08:45.482Z
1,0x000a,1.63879,0x00000000,2016-11-10T16:08:45.077Z,2016-11-10T16:08:45.482Z
3,0x000a,0.759888,0x00000000,2016-11-10T16:08:45.818Z,2016-11-10T16:08:46.239Z
2,0x000a,24.3866,0x00000000,2016-11-10T16:08:45.793Z,2016-11-10T16:08:46.238Z
1,0x000a,1.72729,0x00000000,2016-11-10T16:08:45.759Z,2016-11-10T16:08:46.238Z
3,0x000a,0.726318,0x00000000,2016-11-10T16:08:46.545Z,2016-11-10T16:08:46.892Z
2,0x000a,25.3082,0x00000000,2016-11-10T16:08:46.527Z,2016-11-10T16:08:46.891Z
1,0x000a,1.60522,0x00000000,2016-11-10T16:08:46.474Z,2016-11-10T16:08:46.891Z
3,0x000a,0.701904,0x00000000,2016-11-10T16:08:47.190Z,2016-11-10T16:08:47.541Z
2,0x000a,27.0264,0x00000000,2016-11-10T16:08:47.160Z,2016-11-10T16:08:47.541Z
1,0x000a,1.71814,0x00000000,2016-11-10T16:08:47.111Z,2016-11-10T16:08:47.540Z
3,0x000a,0.723267,0x00000000,2016-11-10T16:08:47.871Z,2016-11-10T16:08:48.252Z
2,0x000a,24.5148,0x00000000,2016-11-10T16:08:47.836Z,2016-11-10T16:08:48.252Z
1,0x000a,1.62964,0x00000000,2016-11-10T16:08:47.801Z,2016-11-10T16:08:48.251Z
3,0x000a,0.756836,0x00000000,2016-11-10T16:08:48.553Z,2016-11-10T16:08:48.923Z
